team,home_matches,home_points,home_ppm,away_matches,away_points,away_ppm,home_advantage
Manchester City,152,357,2.348684210526316,152,229,1.506578947368421,0.8421052631578949
Middlesbrough,19,24,1.263157894736842,19,8,0.42105263157894735,0.8421052631578947
Stoke City,152,250,1.644736842105263,152,130,0.8552631578947368,0.7894736842105262
Birmingham City,38,59,1.5526315789473684,38,30,0.7894736842105263,0.763157894736842
Fulham,114,180,1.5789473684210527,114,95,0.8333333333333334,0.7456140350877193
Burnley,38,45,1.1842105263157894,38,18,0.47368421052631576,0.7105263157894737
Norwich City,76,105,1.381578947368421,76,53,0.6973684210526315,0.6842105263157895
Blackburn Rovers,76,108,1.4210526315789473,76,57,0.75,0.6710526315789473
Reading,19,20,1.0526315789473684,19,8,0.42105263157894735,0.631578947368421
Manchester United,152,364,2.3947368421052633,152,269,1.769736842105263,0.6250000000000002
West Ham United,133,197,1.481203007518797,133,117,0.8796992481203008,0.6015037593984962
Queens Park Rangers,57,63,1.105263157894737,57,29,0.5087719298245614,0.5964912280701755
Newcastle United,133,195,1.4661654135338347,133,116,0.8721804511278195,0.5939849624060152
Portsmouth,38,45,1.1842105263157894,38,24,0.631578947368421,0.5526315789473684
Cardiff City,19,20,1.0526315789473684,19,10,0.5263157894736842,0.5263157894736842
Bolton Wanderers,76,101,1.3289473684210527,76,61,0.8026315789473685,0.5263157894736842
Everton,152,271,1.7828947368421053,152,192,1.263157894736842,0.5197368421052633
Liverpool,152,301,1.980263157894737,152,225,1.480263157894737,0.5
Chelsea,152,337,2.2171052631578947,152,261,1.7171052631578947,0.5
Swansea City,95,142,1.4947368421052631,95,96,1.0105263157894737,0.4842105263157894
Tottenham Hotspur,152,300,1.9736842105263157,152,227,1.493421052631579,0.4802631578947367
Southampton,76,128,1.6842105263157894,76,92,1.2105263157894737,0.4736842105263157
Arsenal,152,325,2.138157894736842,152,258,1.6973684210526316,0.4407894736842104
Sunderland,152,194,1.2763157894736843,152,132,0.868421052631579,0.4078947368421053
West Bromwich Albion,133,175,1.3157894736842106,133,123,0.924812030075188,0.39097744360902265
Hull City,76,83,1.0921052631578947,76,54,0.7105263157894737,0.381578947368421
Leicester City,38,68,1.7894736842105263,38,54,1.4210526315789473,0.368421052631579
Wigan Athletic,95,117,1.231578947368421,95,85,0.8947368421052632,0.33684210526315794
Wolverhampton Wanderers,57,61,1.0701754385964912,57,42,0.7368421052631579,0.33333333333333337
Aston Villa,152,185,1.2171052631578947,152,161,1.0592105263157894,0.1578947368421053
Watford,19,24,1.263157894736842,19,21,1.105263157894737,0.1578947368421051
Crystal Palace,57,69,1.2105263157894737,57,66,1.1578947368421053,0.05263157894736836
Blackpool,19,20,1.0526315789473684,19,19,1.0,0.05263157894736836
Bournemouth,19,20,1.0526315789473684,19,22,1.1578947368421053,-0.10526315789473695
