team,matches,goals_scored,goals_conceded,points,goal_difference,points_per_match
Manchester United,304,582,280,633,302,2.0822368421052633
Chelsea,304,583,286,598,297,1.9671052631578947
Manchester City,304,606,307,586,299,1.9276315789473684
Arsenal,304,573,320,583,253,1.917763157894737
Tottenham Hotspur,304,481,358,527,123,1.7335526315789473
Liverpool,304,531,337,526,194,1.730263157894737
Leicester City,76,114,91,122,23,1.605263157894737
Everton,304,439,355,463,84,1.5230263157894737
Southampton,152,216,180,220,36,1.4473684210526316
Swansea City,190,233,257,238,-24,1.2526315789473683
Stoke City,304,322,401,380,-79,1.25
Fulham,228,265,319,275,-54,1.206140350877193
Crystal Palace,114,119,150,135,-31,1.1842105263157894
Watford,38,40,50,45,-10,1.1842105263157894
West Ham United,266,326,383,314,-57,1.1804511278195489
Birmingham City,76,75,105,89,-30,1.1710526315789473
Newcastle United,266,324,422,311,-98,1.169172932330827
Aston Villa,304,335,462,346,-127,1.138157894736842
West Bromwich Albion,266,305,405,298,-100,1.1203007518796992
Bournemouth,38,45,67,42,-22,1.105263157894737
Blackburn Rovers,152,175,252,165,-77,1.0855263157894737
Sunderland,304,333,441,326,-108,1.0723684210526316
Bolton Wanderers,152,181,253,162,-72,1.0657894736842106
Wigan Athletic,190,200,320,202,-120,1.063157894736842
Norwich City,152,160,253,158,-93,1.0394736842105263
Blackpool,38,55,78,39,-23,1.0263157894736843
Portsmouth,76,72,123,69,-51,0.9078947368421053
Wolverhampton Wanderers,114,118,204,103,-86,0.9035087719298246
Hull City,152,144,243,137,-99,0.9013157894736842
Middlesbrough,38,28,57,32,-29,0.8421052631578947
Burnley,76,70,135,63,-65,0.8289473684210527
Queens Park Rangers,114,115,199,92,-84,0.8070175438596491
Cardiff City,38,32,74,30,-42,0.7894736842105263
Reading,38,43,73,28,-30,0.7368421052631579
